Attack Rate (per 1000),CFR (%),Cases,Date,Deaths,Governorate
50.383,0.27,58473,2017-08-26,156,Amran
50.114,0.0,100842,2018-01-21,161,Dhamar
50.09,0.22,36641,2017-09-08,79,Al Dhale'e
49.964,0.37,36484,2017-09-03,136,Al Mahwit
49.897,0.36,116247,2017-12-31,419,Hajjah
49.82899999999999,0.17,73266,2018-01-07,123,Sana'a
49.633,0.22,36306,2017-09-07,79,Al Dhale'e
49.57899999999999,0.16,99766,2018-01-14,160,Dhamar
49.545,0.38,36178,2017-09-02,136,Al Mahwit
49.477,0.12,28243,2018-02-11,35,Abyan
49.477,0.12,28243,2018-02-18,35,Abyan
49.473,0.0,28241,2018-01-21,35,Abyan
49.473,0.12,28241,2018-01-07,35,Abyan
49.473,0.12,28241,2018-01-14,35,Abyan
49.473,0.12,28241,2018-02-04,35,Abyan
49.473,0.12,28241,2017-12-31,35,Abyan
49.473,0.12,28241,2018-01-28,35,Abyan
49.451,0.12,28228,2017-12-17,35,Abyan
49.35,0.38,36036,2017-09-01,136,Al Mahwit
49.251999999999995,0.38,35964,2017-08-31,136,Al Mahwit
49.232,0.12,28103,2017-11-26,35,Abyan
49.172,0.17,72300,2017-12-31,123,Sana'a
49.157,0.22,35958,2017-09-06,79,Al Dhale'e
49.135,0.12,28048,2017-11-19,35,Abyan
49.129,0.16,98861,2018-01-07,160,Dhamar
48.976000000000006,0.13,27957,2017-11-08,35,Abyan
48.948,0.13,27941,2017-11-07,35,Abyan
48.93899999999999,0.13,27936,2017-11-06,35,Abyan
48.895,0.13,27911,2017-11-04,35,Abyan
48.895,0.13,27911,2017-11-05,35,Abyan
48.869,0.13,27896,2017-11-03,35,Abyan
48.708,0.13,27804,2017-10-30,35,Abyan
48.67100000000001,0.13,27783,2017-10-29,35,Abyan
48.67,0.22,35602,2017-09-05,79,Al Dhale'e
48.668,0.13,27781,2017-10-28,35,Abyan
48.573,0.16,97741,2017-12-31,160,Dhamar
48.568000000000005,0.13,27724,2017-10-25,35,Abyan
48.482,0.13,27675,2017-10-22,35,Abyan
48.448,0.38,35377,2017-08-30,135,Al Mahwit
48.442,0.13,27652,2017-10-21,35,Abyan
48.27,0.22,35309,2017-09-04,79,Al Dhale'e
48.218999999999994,0.13,27525,2017-10-17,35,Abyan
48.121,0.13,27469,2017-10-16,35,Abyan
48.06100000000001,0.13,27435,2017-10-14,35,Abyan
47.997,0.39,35048,2017-08-29,135,Al Mahwit
47.901,0.37,111598,2017-12-17,417,Hajjah
47.865,0.23,35013,2017-09-03,79,Al Dhale'e
47.833999999999996,0.13,27305,2017-10-11,35,Abyan
47.827,0.17,70322,2017-12-17,123,Sana'a
47.637,0.13,27193,2017-10-10,35,Abyan
47.629,0.13,27188,2017-10-09,35,Abyan
47.607,0.39,34763,2017-08-28,135,Al Mahwit
47.545,0.23,34779,2017-09-02,79,Al Dhale'e
47.544,0.23,34778,2017-09-01,79,Al Dhale'e
47.441,0.13,27081,2017-10-08,35,Abyan
47.321999999999996,0.23,34616,2017-08-31,78,Al Dhale'e
47.236999999999995,0.17,95054,2017-12-17,160,Dhamar
47.211999999999996,0.13,26950,2017-10-05,35,Abyan
47.114,0.39,34403,2017-08-27,135,Al Mahwit
47.103,0.13,26888,2017-10-04,35,Abyan
47.041000000000004,0.23,34410,2017-08-30,78,Al Dhale'e
46.988,0.13,26822,2017-10-03,35,Abyan
46.898999999999994,0.39,34246,2017-08-26,134,Al Mahwit
46.637,0.13,26622,2017-10-01,35,Abyan
46.637,0.13,26622,2017-10-02,35,Abyan
46.622,0.23,34104,2017-08-29,78,Al Dhale'e
46.556000000000004,0.18,68453,2017-11-26,122,Sana'a
46.464,0.13,26523,2017-09-30,35,Abyan
46.222,0.13,26385,2017-09-28,35,Abyan
46.22,0.23,33810,2017-08-28,78,Al Dhale'e
46.071000000000005,0.13,26299,2017-09-27,35,Abyan
45.983000000000004,0.18,67611,2017-11-19,122,Sana'a
45.946999999999996,0.13,26228,2017-09-26,35,Abyan
45.898999999999994,0.39,106933,2017-11-26,417,Hajjah
45.787,0.23,33493,2017-08-27,78,Al Dhale'e
45.777,0.13,26131,2017-09-25,35,Abyan
45.36,0.24,33181,2017-08-26,78,Al Dhale'e
45.351000000000006,0.14,25888,2017-09-24,35,Abyan
45.004,0.18,90560,2017-11-26,160,Dhamar
45.0,0.4,104838,2017-11-19,416,Hajjah
44.946000000000005,0.18,66086,2017-11-08,122,Sana'a
44.86600000000001,0.14,25611,2017-09-22,35,Abyan
44.86600000000001,0.14,25611,2017-09-23,35,Abyan
44.86600000000001,0.14,25611,2017-09-21,35,Abyan
44.836000000000006,0.19,65925,2017-11-07,122,Sana'a
44.742,0.19,65786,2017-11-06,122,Sana'a
44.632,0.19,65625,2017-11-05,122,Sana'a
44.568999999999996,0.39,33905,2017-08-24,133,Al Mahwit
44.551,0.14,25431,2017-09-20,35,Abyan
44.536,0.19,65484,2017-11-04,122,Sana'a
44.438,0.19,65339,2017-11-03,122,Sana'a
44.146,0.14,25200,2017-09-19,35,Abyan
44.078,0.4,33531,2017-08-23,133,Al Mahwit
44.01,0.19,64710,2017-10-30,122,Sana'a
43.988,0.18,88515,2017-11-19,158,Dhamar
43.872,0.19,64507,2017-10-29,122,Sana'a
43.766000000000005,0.14,24983,2017-09-18,35,Abyan
43.736999999999995,0.19,64308,2017-10-28,122,Sana'a
43.38399999999999,0.24,32684,2017-08-24,78,Al Dhale'e
43.31399999999999,0.19,63687,2017-10-25,122,Sana'a
43.288000000000004,0.41,100850,2017-11-08,414,Hajjah
43.227,0.4,32884,2017-08-22,132,Al Mahwit
43.226000000000006,0.4,32883,2017-08-21,132,Al Mahwit
43.198,0.41,100640,2017-11-07,414,Hajjah
43.128,0.14,24619,2017-09-16,35,Abyan
43.128,0.14,24619,2017-09-17,35,Abyan
43.055,0.41,100308,2017-11-06,414,Hajjah
43.005,0.41,100191,2017-11-05,414,Hajjah
42.99,0.24,32387,2017-08-23,78,Al Dhale'e
42.951,0.4,32674,2017-08-20,132,Al Mahwit
42.94,0.19,63136,2017-10-22,122,Sana'a
42.82,0.19,62960,2017-10-21,122,Sana'a
42.769,0.14,24414,2017-09-15,35,Abyan
42.718,0.41,99522,2017-11-04,413,Hajjah
42.628,0.41,99312,2017-11-03,411,Hajjah
42.571000000000005,0.24,32071,2017-08-22,78,Al Dhale'e
42.534,0.41,32357,2017-08-19,132,Al Mahwit
42.21,0.2,62064,2017-10-17,122,Sana'a
42.181999999999995,0.15,24079,2017-09-14,35,Abyan
42.136,0.41,32054,2017-08-18,132,Al Mahwit
42.111999999999995,0.19,84741,2017-11-08,157,Dhamar
42.111000000000004,0.24,31725,2017-08-21,77,Al Dhale'e
42.032,0.2,61802,2017-10-16,122,Sana'a
